AC#,Artist,Title,Date,Medium,Dimensions,Category,,,,,
632661,"ARBUCKLE, George Franklin",Beaver Dam Rockies,n.d.,oil on board,"29.2 x 39.4 cm / 11 1/2"" x 15 1/2""",painting,,,,,
632662,"ARBUCKLE, George Franklin","Farmhouse and Tower, Guadagni's Valley, Italy",n.d.,oil on board,"29.2 x 40 cm / 11 1/2"" x 15 3/4""",painting,,,,,
619783,"ARBUCKLE, George Franklin",Untitled,1968,acrylic on canvas,"266.7 x 299.7 cm / 105"" x 118""",painting,,,,,
619896,"ARBUCKLE, George Franklin",Untitled [maquette],c. 1966-1968,mixed media,"43.2 x 49.5 cm / 17"" x 19 1/2""",mixed media,,,,,
619781,"ARCHAMBAULT, Louis de Gonzague Pascal",Man and Woman,c. 1966-1968,bronze,"a) 398.8 x 243.8 x 86.4 cm / 157"" x 96"" x 34""; b) 355.6 x 198.1 x 99.1 cm / 140"" x 78"" x 39""",sculpture,,,,,
100342,"ARCHIBALD, Debra",Bloor Viaduct with Lamp Light,2004,mixed media,"76.2 x 91.4 cm; 30"" x 36""",mixed media,,,,,
618675,"ARISS, Herbert Joshua",Homage to Eadweard Muybridge,1975,graphite on paper,"168 x 73.5 cm / 66 1/8"" x 29""",work on paper,,,,,
619780,"ARISS, Herbert Joshua",Untitled,c. 1966-1968,mixed media,"264.2 x 198.1 cm / 104"" x 78""",mixed media,,,,,
619902,"ARISS, Herbert Joshua",Untitled [maquette],c. 1968,mixed media,"83.8 x 25.4 cm / 33"" x 10""",mixed media,,,,,
637045,"ARISS, Margot Philipps",Untitled,n.d.,mixed media,"243.8 x 243.8 x 8.3 cm / 96"" x 96"" x 3 1/4""",mixed media,,,,,
633133,"ARISS, Margot Philipps",Untitled [maquette],1983,mixed media,"61 x 61 x 10.2 cm / 24"" x 24"" x 4""",mixed media,,,,,
616944,"ARISS, Margot Philipps",Words,1974,mixed media,"231.1 x 429.3 cm / 91"" x 169""",mixed media,,,,,
619741,"ARMSTRONG, William",Jacques Cartier in Canada (1 July 1534),1875,watercolour on paper,"51.4 x 72.4 cm / 20 1/4"" x 28 1/2""",work on paper,,,,,
692672,"ARMSTRONG, William",Untitled [Fort William],1872,watercolour on paper,"42.8 x 66 cm / 16 7/8"" x 26""",work on paper,,,,,
101053,"ARNAUDOV, Ivo",Gemini,n.d.,bronze,"33 x 22.8 x 36.8 cm / 13"" x 9"" x 14 1/2""",sculpture,,,,,
630166,"ARTHURS, Stephen J.","Agonizing Their Indecisiveness, They Were Seized With A Fear of the Unknown",1981,acrylic on paper,"24.1 x 29.2 cm / 9 1/2"" x 11 1/2""",work on paper,,,,,
630168,"ARTHURS, Stephen J.",Enigma: Ensemble-Entente,1980,acrylic on paper,"24.1 x 34.3 cm / 9 1/2"" x 3 1/2""",work on paper,,,,,
630167,"ARTHURS, Stephen J.","Freely Admitting their Secret, They Stood to be Corrected",1981,acrylic on paper,"24.1 x 29.2 cm / 9 1/2"" x 11 1/2""",work on paper,,,,,
636645,"ARTHURS, Stephen J.",I Fly with the Eye of the Eagle,1984,acrylic on canvas,"200.7 x 556.3 cm / 79"" x 219""",painting,,,,,
633753,"ARTHURS, Stephen J.",I Fly with the Eye of the Eagle [maquette],c. 1983,acrylic on paper,"40 x 69.8 cm / 15 3/4"" x 27 1/2""; frame: 34 x 68.5 cm / 13 3/8"" x 27""",work on paper,,,,,
637409,"ARTHURS, Stephen J.",The Fluidness of Justice Seeks Its Own Level and Finds Its Own Balance [maquette],1985,watercolour on paper,"18.4 x 42 cm / 7 1/4"" x 16 1/2""",work on paper,,,,,
633136,"ARTHURS, Stephen J.",We Are the Total Sum of Our Experiences; Overshadowed By Our Most Recent Experience [maquette],n.d.,acrylic on paper,"30.5 x 127 cm / 12"" x 50""",work on paper,,,,,
630164,"ARTHURS, Stephen J.","Who Benefits, That a Whole Generation Is Pacified?",1981,acrylic on paper,"24.1 x 31.8 cm / 10"" x 12 1/2""",work on paper,,,,,
632976,"ARTIST UNKNOWN [""N.W.I.""],",Untitled [view of Legislative Building from University Avenue],1897,pastel on paper,"32.4 x 49.8 cm / 12 3/4"" x 19 5/8""",work on paper,,,,,
605055,"ARTIST UNKNOWN [S.M./M.S],",Untitled (Portrait of a Youth),n.d.,oil on canvas,"52.1 x 41.9 cm / 20 1/2"" x 16 1/2""",painting,,,,,
661775,"ARTIST UNKNOWN,",[Mulock?] Portrait of an Unidentified Man,n.d.,oil on canvas,"61 x 50.8 cm / 24"" x 20""",portrait,,,,,
800021,"ARTIST UNKNOWN,",Amethyst [rock crystal],n.d.,mixed media,"9.5 x 11.4 x 7.5 cm / 3 3/4"" x 4 1/2"" x 3"" (H x L x W)",mixed media,,,,,
635027,"ARTIST UNKNOWN,",Anne Nelson Brown (?),n.d.,oil on canvas,"91.4 x 66 cm / 36"" x 26""",painting,,,,,
100048,"ARTIST UNKNOWN,",Arm Chair [Charles II Restoration],c. 1660-1680,furniture,n/a,furnishings,,,,,
100049,"ARTIST UNKNOWN,","Arm Chair [French, Louis XV style]",c. 1800,tapestry,n/a,furnishings,,,,,
100210,"ARTIST UNKNOWN,","Arm Chair, carved oak",n.d.,furniture,"109.9 x 63.5 x 61 cm / 43 1/4"" x 25"" x 24"" (H x W x D)",furnishings,,,,,
100059,"ARTIST UNKNOWN,",Armenian Rug,n.d.,furniture,"plexi box: 117.5 x 75.6 cm / 46 1/4"" x 29 3/4""",furnishings,,,,,
100051,"ARTIST UNKNOWN,",Banner with Coat of Arms of George IV,c. 1820,mixed media,"208 x 148 cm / 81 7/8"" x 58 1/4""",mixed media,,,,,
100032,"ARTIST UNKNOWN,","Bowl [Chinese, porcelain]",n.d.,ceramics,"15.9 x 36.2 cm / 6 1/4"" x 14 1/4"" dia.",ceramic,,,,,
100177,"ARTIST UNKNOWN,","Bowl [English earthenwear, Imari colours]",n.d.,ceramics,"18 x 40 cm / 7 1/8"" x 15 3/4"" dia.",ceramic,,,,,
661800,"ARTIST UNKNOWN,","Chinoiserie Cabinet [George II, lacquered]",c. 1750,wood,"154 x 74 x 64 cm / 60 5/8"" x 29 1/8"" x 25 3/16""",furnishings,,,,,
100209,"ARTIST UNKNOWN,",Circular oak table with barley twist legs,c. 1916,wood,"72.5 x 147.5 cm / 28 1/2"" x 58 1/8"" dia.",furnishings,,,,,
100204,"ARTIST UNKNOWN,",Coat of Arms of Ontario,n.d.,bronze,"72.5 x 95.5 x 8 cm / 28 1/2"" x 37 5/8"" x 3 1/8"" (extremely heavy)",furnishings,,,,,
622070,"ARTIST UNKNOWN,",Coat of Arms of Ontario,n.d.,furniture,"61 x 73.7 cm / 24"" x 29""",furnishings,,,,,
100063,"ARTIST UNKNOWN,","Commode [3-drawer, Directoire style, brocatelle marble slab]",n.d.,mixed media,n/a,mixed media,,,,,
661779,"ARTIST UNKNOWN,",Davenport Desk [Victorian],c. 1880,wood,"81.6 x 54.5 x 65 cm / 32 1/8"" x 21 1/2"" x 25 9/16""",furnishings,,,,,
661764,"ARTIST UNKNOWN,",Desk [Georgian style],c. 1800,wood,"81.3 x 89 x 177.8 cm / 32"" x 35"" x 70""",furnishings,,,,,
644267,"ARTIST UNKNOWN,",Desk [Premier Frank Miller's],n.d.,wood,"214 x 102 x 76 cm / 84 1/4"" x 40 1/8"" x 30"" (approx.)",furnishings,,,,,
101320,"ARTIST UNKNOWN,",Desk Chair [see Mowat's desk: 100060],n.d.,furniture,n/a,furnishings,,,,,
100196,"ARTIST UNKNOWN,",Dining Chairs (13),n.d.,furniture,n/a,furnishings,,,,,
100197,"ARTIST UNKNOWN,",Dining Chairs (31),n.d.,furniture,n/a,furnishings,,,,,
100061-01,"ARTIST UNKNOWN,","Dining Suite, Sheraton reproduction [dining table with 2 extensions and glass top]",n.d.,furniture,"table: 30"" x 60"" + 2 extensions, 24"" each; 76.5 x 152.5 cm + (61 cm x 2); overall 76.5 x 213.5 cm",furnishings,,,,,
